order_id,order_date,product_id,product_name,category,city,quantity,unit_price,cost_price,discount_pct,rating,delivery_minutes,payment_method
O0001,2025-04-03,P101,Bread,Grocery,Pune,2,35,22,5,5.0,35.0,UPI
O0002,2025-03-05,P101,Bread,Grocery,Bengaluru,3,35,22,15,4.5,27.0,Wallet
O0003,2025-02-24,P107,Cooking Oil,Staples,Pune,1,160,118,0,5.0,28.0,Card
O0004,2025-03-07,P107,Cooking Oil,Staples,Mumbai,2,160,118,0,3.0,20.0,Cash
O0005,2025-04-10,P107,Cooking Oil,Staples,Mumbai,3,160,118,0,4.5,22.0,UPI
O0006,2025-02-23,P108,Soap,Personal Care,Bengaluru,3,45,28,15,4.5,32.0,UPI
O0007,2025-01-06,P104,Coffee,Beverages,Pune,1,180,120,10,4.5,45.0,Card
O0008,2025-02-19,P108,Soap,Personal Care,Mumbai,5,45,28,5,3.0,37.0,Card
O0009,2025-01-16,P104,Coffee,Beverages,Pune,2,180,120,5,3.5,33.0,Wallet
O0010,2025-01-20,P104,Coffee,Beverages,Bengaluru,3,180,120,10,3.0,22.0,Card
O0011,2025-04-07,P104,Coffee,Beverages,Bengaluru,2,180,120,20,3.5,34.0,Cash
O0012,2025-04-10,P102,Milk,Dairy,Delhi,4,60,42,0,4.5,33.0,Wallet
O0013,2025-03-26,P104,Coffee,Beverages,Mumbai,4,180,120,10,4.0,22.0,UPI
O0014,2025-01-30,P102,Milk,Dairy,Delhi,2,60,42,10,4.0,14.0,Card
O0015,2025-04-02,P101,Bread,Grocery,Pune,3,35,22,10,4.0,33.0,Wallet
O0016,2025-03-14,P103,Biscuits,Snacks,,1,30,18,5,5.0,26.0,UPI
O0017,2025-04-13,P108,Soap,Personal Care,Delhi,1,45,28,15,3.0,31.0,Wallet
O0018,2025-02-22,P103,Biscuits,Snacks,Pune,1,30,18,10,4.0,33.0,Wallet
O0019,2025-02-18,P104,Coffee,Beverages,Mumbai,4,180,120,5,3.5,25.0,UPI
O0020,2025-04-03,P101,Bread,Grocery,Pune,3,35,22,5,4.5,28.0,UPI
O0021,2025-01-19,P108,Soap,Personal Care,Mumbai,3,45,28,5,4.0,27.0,UPI
